,0,1,2,3,4,5,6,7,8
220,Black Swan,(2010),R,108 min,"
Drama, Thriller            ","613,310",$106.95M,8.0,79        
221,300: Rise of an Empire,(2014),R,102 min,"
Action, Fantasy            ","250,122",$106.58M,6.2,48        
222,Robin Hood,(2010),PG-13,140 min,"
Action, Adventure, Drama            ","230,044",$105.27M,6.7,53        
223,Pitch Perfect 3,(2017),PG-13,93 min,"
Comedy, Music            ","27,243",$104.90M,5.9,40        
224,The Chronicles of Narnia: The Voyage of the Dawn Treader,(2010),PG,113 min,"
Adventure, Family, Fantasy            ","120,613",$104.39M,6.3,53        
225,Daddy's Home 2,(2017),PG-13,100 min,"
Comedy            ","30,785",$104.03M,6.0,30        
226,Paranormal Activity 3,(2011),R,83 min,"
Horror            ","82,735",$104.01M,5.8,59        
227,Journey 2: The Mysterious Island,(2012),PG,94 min,"
Action, Adventure, Comedy            ","77,398",$103.86M,5.8,41        
228,Rise of the Guardians,(2012),PG,97 min,"
Animation, Adventure, Family            ","137,787",$103.41M,7.3,57        
229,Independence Day: Resurgence,(2016),PG-13,120 min,"
Action, Adventure, Sci-Fi            ","144,438",$103.14M,5.2,32        
230,The Expendables,(2010),R,103 min,"
Action, Adventure, Thriller            ","295,409",$103.07M,6.5,45        
231,Just Go with It,(2011),PG-13,117 min,"
Comedy, Romance            ","191,195",$103.03M,6.4,33        
232,Murder on the Orient Express,(2017),PG-13,114 min,"
Crime, Drama, Mystery            ","132,748",$102.83M,6.6,52        
233,The Girl with the Dragon Tattoo,(2011),R,158 min,"
Crime, Drama, Mystery            ","367,636",$102.52M,7.8,71        
234,The Conjuring 2,(2016),R,134 min,"
Horror, Mystery, Thriller            ","165,572",$102.47M,7.4,65        
235,The Maze Runner,(2014),PG-13,113 min,"
Action, Mystery, Sci-Fi            ","364,063",$102.43M,6.8,57        
236,Annabelle: Creation,(2017),R,109 min,"
Horror, Mystery, Thriller            ","68,574",$102.09M,6.6,62        
237,Bad Grandpa,(2013),R,92 min,"
Comedy            ","83,232",$102.00M,6.5,54        
238,Pacific Rim,(2013),PG-13,131 min,"
Action, Adventure, Sci-Fi            ","424,698",$101.80M,6.9,65        
239,The Equalizer,(2014),R,132 min,"
Action, Crime, Thriller            ","264,082",$101.53M,7.2,57        
240,This Is the End,(2013),R,107 min,"
Comedy, Fantasy            ","344,059",$101.47M,6.6,67        
241,Noah,(2014),PG-13,138 min,"
Action, Adventure, Drama            ","219,611",$101.20M,5.8,68        
242,Arrival,(II) (2016),PG-13,116 min,"
Drama, Mystery, Sci-Fi            ","446,258",$100.55M,7.9,81        
243,Due Date,(2010),R,95 min,"
Action, Adventure, Comedy            ","292,586",$100.54M,6.6,51        
244,Bad Teacher,(2011),R,92 min,"
Comedy            ","174,010",$100.29M,5.6,47        
245,Yogi Bear,(2010),PG,80 min,"
Animation, Adventure, Comedy            ","18,080",$100.25M,4.6,35        
246,Cowboys & Aliens,(2011),PG-13,119 min,"
Action, Sci-Fi, Thriller            ","188,129",$100.24M,6.0,50        
247,Kingsman: The Golden Circle,(2017),R,141 min,"
Action, Adventure, Comedy            ","176,075",$100.23M,6.8,44        
248,Edge of Tomorrow,(2014),PG-13,113 min,"
Action, Adventure, Sci-Fi            ","508,901",$100.21M,7.9,71        
249,Passengers,(I) (2016),PG-13,116 min,"
Drama, Sci-Fi, Thriller            ","271,817",$100.01M,7.0,41        
250,Gnomeo & Juliet,(2011),G,84 min,"
Animation, Comedy, Family            ","46,909",$99.97M,6.0,53        
251,Olympus Has Fallen,(2013),R,119 min,"
Action, Drama, Thriller            ","225,090",$98.93M,6.5,41        
252,The Green Hornet,(2011),PG-13,119 min,"
Action, Comedy, Crime            ","144,583",$98.78M,5.8,39        
253,Date Night,(2010),PG-13,88 min,"
Comedy, Crime, Romance            ","138,830",$98.71M,6.3,56        
254,Sausage Party,(2016),R,89 min,"
Animation, Adventure, Comedy            ","143,619",$97.66M,6.2,66        
255,The Social Network,(2010),PG-13,120 min,"
Biography, Drama            ","539,664",$96.96M,7.7,95        
256,Zero Dark Thirty,(2012),R,157 min,"
Drama, Thriller            ","238,368",$95.72M,7.4,95        
257,Sex and the City 2,(2010),R,146 min,"
Comedy, Drama, Romance            ","65,573",$95.35M,4.4,27        
258,42,(2013),PG-13,128 min,"
Biography, Drama, Sport            ","73,813",$95.00M,7.5,62        
259,The Book of Eli,(2010),R,118 min,"
Action, Adventure, Drama            ","254,420",$94.84M,6.9,53        
260,Flight,(I) (2012),R,138 min,"
Drama, Thriller            ","288,159",$93.77M,7.3,76        
261,The Fighter,(I) (2010),R,116 min,"
Biography, Drama, Sport            ","302,684",$93.62M,7.8,79        
262,Tomorrowland,(2015),PG,130 min,"
Action, Adventure, Family            ","153,140",$93.44M,6.5,60        
263,The Magnificent Seven,(2016),PG-13,132 min,"
Action, Adventure, Western            ","152,001",$93.43M,6.9,54        
264,Elysium,(I) (2013),R,109 min,"
Action, Drama, Sci-Fi            ","377,649",$93.05M,6.6,61        
265,The Town,(2010),R,125 min,"
Crime, Drama, Thriller            ","307,720",$92.19M,7.6,74        
266,Non-Stop,(2014),PG-13,106 min,"
Action, Mystery, Thriller            ","223,371",$92.17M,7.0,56        
267,Blade Runner 2049,(2017),R,164 min,"
Drama, Mystery, Sci-Fi            ","287,813",$92.05M,8.1,81        
268,John Wick: Chapter 2,(2017),R,122 min,"
Action, Crime, Thriller            ","226,035",$92.03M,7.5,75        
269,Think Like a Man,(2012),PG-13,122 min,"
Comedy, Romance            ","39,045",$91.55M,6.6,51        
270,Heaven Is for Real,(2014),PG,99 min,"
Biography, Drama, Family            ","23,165",$91.44M,5.8,47        
271,The Imitation Game,(2014),PG-13,114 min,"
Biography, Drama, History            ","574,047",$91.13M,8.0,73        
272,Ride Along 2,(2016),PG-13,102 min,"
Action, Comedy            ","43,889",$90.84M,5.9,32        
273,Prince of Persia: The Sands of Time,(2010),PG-13,116 min,"
Action, Adventure, Fantasy            ","243,660",$90.76M,6.6,50        
274,Get Hard,(2015),R,100 min,"
Comedy, Crime            ","103,630",$90.41M,6.0,34        
275,RED,(2010),PG-13,111 min,"
Action, Comedy, Crime            ","260,686",$90.38M,7.1,60        
276,Planes,(2013),PG,91 min,"
Animation, Adventure, Comedy            ","38,235",$90.29M,5.7,39        
277,Terminator Genisys,(2015),PG-13,126 min,"
Action, Adventure, Sci-Fi            ","220,758",$89.76M,6.5,38        
278,The Lone Ranger,(2013),PG-13,150 min,"
Action, Adventure, Western            ","200,073",$89.30M,6.5,37        
279,Taken 3,(2014),PG-13,108 min,"
Action, Thriller            ","154,953",$89.26M,6.0,26        
280,Don't Breathe,(2016),R,88 min,"
Crime, Horror, Thriller            ","157,942",$89.22M,7.1,71        
281,Oblivion,(I) (2013),PG-13,124 min,"
Action, Adventure, Mystery            ","430,949",$89.02M,7.0,54        
282,Percy Jackson & the Olympians: The Lightning Thief,(2010),PG,118 min,"
Adventure, Family, Fantasy            ","156,970",$88.76M,5.9,47        
283,The Muppets,(2011),PG,103 min,"
Adventure, Comedy, Family            ","80,060",$88.63M,7.1,75        
284,Miss Peregrine's Home for Peculiar Children,(2016),PG-13,127 min,"
Adventure, Drama, Family            ","127,689",$87.24M,6.7,57        
285,Sisters,(III) (2015),R,118 min,"
Comedy            ","55,301",$87.04M,6.0,58        
286,The Campaign,(2012),R,85 min,"
Comedy            ","114,487",$86.91M,6.1,50        
287,The Accountant,(2016),R,128 min,"
Action, Crime, Drama            ","209,923",$86.26M,7.4,51        
288,Dumb and Dumber To,(2014),PG-13,109 min,"
Adventure, Comedy            ","111,130",$86.21M,5.6,36        
289,The Emoji Movie,(2017),PG,86 min,"
Animation, Adventure, Comedy            ","38,463",$86.09M,3.1,12        
290,Annie,(2014),PG,118 min,"
Comedy, Drama, Family            ","29,399",$85.91M,5.3,33        
291,Alvin and the Chipmunks: The Road Chip,(2015),PG,92 min,"
Animation, Adventure, Comedy            ","12,977",$85.89M,5.1,33        
292,Fury,(2014),R,134 min,"
Action, Drama, War            ","356,347",$85.82M,7.6,64        
293,Real Steel,(2011),PG-13,127 min,"
Action, Drama, Family            ","274,463",$85.47M,7.1,56        
294,Power Rangers,(2017),PG-13,124 min,"
Action, Adventure, Sci-Fi            ","81,132",$85.07M,6.0,44        
295,The Expendables 2,(2012),R,103 min,"
Action, Adventure, Thriller            ","267,242",$85.02M,6.6,51        
296,Paranormal Activity 2,(2010),R,91 min,"
Horror            ","89,468",$84.75M,5.7,53        
297,Tammy,(2014),R,97 min,"
Comedy, Romance            ","41,372",$84.53M,4.9,39        
298,"Crazy, Stupid, Love.",(2011),PG-13,118 min,"
Comedy, Drama, Romance            ","416,579",$84.35M,7.4,68        
299,Ferdinand,(2017),PG,108 min,"
Animation, Adventure, Comedy            ","24,427",$84.35M,6.7,58        
300,Annabelle,(I) (2014),R,99 min,"
Horror, Mystery, Thriller            ","107,379",$84.27M,5.4,37        
301,The Other Woman,(2014),PG-13,109 min,"
Comedy, Romance            ","116,650",$83.91M,6.0,39        
302,Wrath of the Titans,(2012),PG-13,99 min,"
Action, Adventure, Fantasy            ","165,618",$83.67M,5.8,37        
303,Insidious: Chapter 2,(2013),PG-13,106 min,"
Horror, Mystery, Thriller            ","130,181",$83.59M,6.6,40        
304,Battle Los Angeles,(2011),PG-13,116 min,"
Action, Sci-Fi            ","163,007",$83.55M,5.8,37        
305,Immortals,(2011),R,110 min,"
Action, Drama, Fantasy            ","147,826",$83.50M,6.0,46        
306,Penguins of Madagascar,(2014),PG,92 min,"
Animation, Adventure, Comedy            ","68,590",$83.35M,6.7,53        
307,Saving Mr. Banks,(2013),PG-13,125 min,"
Biography, Comedy, Drama            ","132,080",$83.30M,7.5,65        
308,Turbo,(2013),PG,96 min,"
Animation, Adventure, Comedy            ","69,943",$83.03M,6.5,58        
309,The Descendants,(2011),R,115 min,"
Comedy, Drama            ","217,406",$82.58M,7.3,84        
310,Let's Be Cops,(2014),R,104 min,"
Comedy, Crime            ","117,330",$82.39M,6.5,30        
311,Teenage Mutant Ninja Turtles: Out of the Shadows,(2016),PG-13,112 min,"
Action, Adventure, Comedy            ","70,144",$82.05M,6.0,40        
312,The Post,(2017),PG-13,116 min,"
Biography, Drama, History            ","67,087",$81.89M,7.2,83        
313,Maze Runner: The Scorch Trials,(2015),PG-13,131 min,"
Action, Sci-Fi, Thriller            ","182,750",$81.67M,6.3,43        
314,Unstoppable,(2010),PG-13,98 min,"
Action, Thriller            ","164,785",$81.56M,6.8,69        
315,Ted 2,(2015),R,115 min,"
Comedy            ","151,556",$81.48M,6.3,48        
316,Eat Pray Love,(2010),PG-13,133 min,"
Drama, Romance            ","72,408",$80.57M,5.7,50        
317,Zookeeper,(2011),PG,102 min,"
Comedy, Family, Romance            ","49,656",$80.36M,5.2,30        
318,The Mummy,(2017),PG-13,110 min,"
Action, Adventure, Fantasy            ","131,079",$80.10M,5.5,34        
319,Goosebumps,(2015),PG,103 min,"
Adventure, Comedy, Family            ","64,157",$80.08M,6.3,60        
320,Jack Reacher,(2012),PG-13,130 min,"
Action, Crime, Mystery            ","265,766",$80.07M,7.0,50        
321,Dear John,(I) (2010),PG-13,108 min,"
Drama, Romance, War            ","120,262",$80.01M,6.3,43        
322,War Horse,(2011),PG-13,146 min,"
Drama, War            ","129,539",$79.88M,7.2,72        
323,Dark Shadows,(2012),PG-13,113 min,"
Comedy, Fantasy, Horror            ","219,009",$79.73M,6.2,55        
324,Limitless,(I) (2011),PG-13,105 min,"
Mystery, Sci-Fi, Thriller            ","467,720",$79.25M,7.4,59        
325,The Purge: Election Year,(2016),R,108 min,"
Action, Horror, Sci-Fi            ","66,525",$79.00M,6.0,55        
326,Pixels,(2015),PG-13,105 min,"
Action, Comedy, Fantasy            ","111,069",$78.75M,5.6,27        
327,Tower Heist,(2011),PG-13,104 min,"
Action, Comedy, Crime            ","119,387",$78.05M,6.2,59        
328,The Monuments Men,(2014),PG-13,118 min,"
Drama, History, War            ","112,818",$78.03M,6.1,52        
329,The Adventures of Tintin,(2011),PG,107 min,"
Animation, Action, Adventure            ","193,621",$77.59M,7.4,68        
330,Parental Guidance,(2012),PG,105 min,"
Comedy, Family            ","22,899",$77.27M,6.0,36        
331,The A-Team,(2010),PG-13,117 min,"
Action, Adventure, Comedy            ","227,098",$77.22M,6.8,47        
332,Alice Through the Looking Glass,(2016),PG,113 min,"
Adventure, Family, Fantasy            ","69,604",$77.04M,6.2,34        
333,Knight and Day,(2010),PG-13,109 min,"
Action, Adventure, Comedy            ","161,519",$76.42M,6.3,46        
334,Paddington,(2014),PG,95 min,"
Animation, Adventure, Comedy            ","71,243",$76.22M,7.2,77        
335,Pete's Dragon,(2016),PG,102 min,"
Action, Adventure, Comedy            ","44,789",$76.20M,6.7,71        
336,The Intern,(I) (2015),PG-13,121 min,"
Comedy, Drama            ","176,783",$75.76M,7.1,51        
337,Contagion,(2011),PG-13,106 min,"
Drama, Thriller            ","193,937",$75.66M,6.6,70        
338,We Bought a Zoo,(2011),PG,124 min,"
Comedy, Drama, Family            ","121,700",$75.62M,7.1,58        
339,2 Guns,(2013),R,109 min,"
Action, Comedy, Crime            ","173,286",$75.61M,6.7,55        
340,Moneyball,(2011),PG-13,133 min,"
Biography, Drama, Sport            ","310,616",$75.61M,7.6,87        
341,The Hitman's Bodyguard,(2017),R,118 min,"
Action, Comedy, Thriller            ","127,554",$75.47M,6.9,47        
342,The Girl on the Train,(2016),R,112 min,"
Crime, Drama, Mystery            ","132,309",$75.40M,6.5,48        
343,Alien: Covenant,(2017),R,122 min,"
Horror, Sci-Fi, Thriller            ","197,156",$74.26M,6.4,65        
344,Jack and Jill,(I) (2011),PG,91 min,"
Comedy            ","67,097",$74.16M,3.4,23        
345,Captain Underpants: The First Epic Movie,(2017),PG,89 min,"
Animation, Action, Comedy            ","18,033",$73.92M,6.2,69        
346,Hugo,(2011),PG,126 min,"
Adventure, Drama, Family            ","272,147",$73.86M,7.5,83        
347,Boo! A Madea Halloween,(2016),PG-13,103 min,"
Comedy, Horror            ","6,021",$73.16M,4.6,30        
348,White House Down,(2013),PG-13,131 min,"
Action, Drama, Thriller            ","182,365",$73.10M,6.4,52        
349,John Carter,(2012),PG-13,132 min,"
Action, Adventure, Sci-Fi            ","229,645",$73.08M,6.6,51        
350,Dinner for Schmucks,(2010),PG-13,114 min,"
Comedy            ","86,763",$73.03M,5.9,56        
351,Hercules,(I) (2014),PG-13,98 min,"
Action, Adventure, Fantasy            ","129,142",$72.69M,6.0,47        
352,Storks,(2016),PG,87 min,"
Animation, Adventure, Comedy            ","45,395",$72.68M,6.8,56        
353,Bridge of Spies,(2015),PG-13,142 min,"
Drama, History, Thriller            ","243,347",$72.31M,7.6,81        
354,Dolphin Tale,(2011),PG,113 min,"
Drama, Family            ","19,691",$72.29M,6.9,64        
355,A Bad Moms Christmas,(2017),R,104 min,"
Adventure, Comedy            ","21,735",$72.11M,5.5,42        
356,The Purge: Anarchy,(2014),R,103 min,"
Action, Horror, Sci-Fi            ","114,825",$71.96M,6.5,50        
357,10 Cloverfield Lane,(2016),PG-13,103 min,"
Drama, Horror, Mystery            ","235,191",$71.90M,7.2,76        
358,Mama,(I) (2013),PG-13,100 min,"
Horror, Thriller            ","151,674",$71.63M,6.2,57        
359,Safe Haven,(I) (2013),PG-13,115 min,"
Drama, Romance, Thriller            ","90,678",$71.35M,6.7,34        
360,Paul Blart: Mall Cop 2,(2015),PG,94 min,"
Action, Comedy, Crime            ","28,476",$71.04M,4.4,13        
361,The Smurfs 2,(2013),PG,105 min,"
Animation, Adventure, Comedy            ","32,017",$71.02M,5.4,34        
362,No Strings Attached,(I) (2011),R,108 min,"
Comedy, Romance            ","187,588",$70.66M,6.2,50        
363,The Best Man Holiday,(2013),R,123 min,"
Comedy, Drama            ","13,091",$70.53M,6.7,59        
364,The Big Short,(2015),R,130 min,"
Biography, Comedy, Drama            ","279,752",$70.26M,7.8,81        
365,Act of Valor,(2012),R,110 min,"
Action, Adventure, Drama            ","61,913",$70.01M,6.5,40        
366,Percy Jackson: Sea of Monsters,(2013),PG,106 min,"
Adventure, Family, Fantasy            ","97,074",$68.56M,5.9,39        
367,Mr. Popper's Penguins,(2011),PG,94 min,"
Comedy, Family, Fantasy            ","75,687",$68.22M,6.0,53        
368,War Room,(2015),PG,120 min,"
Drama            ","10,822",$67.79M,6.4,26        
369,The Tourist,(2010),PG-13,103 min,"
Action, Adventure, Crime            ","196,146",$67.63M,6.0,37        
370,This Is 40,(2012),R,134 min,"
Comedy, Romance            ","112,352",$67.54M,6.2,59        
371,A Good Day to Die Hard,(2013),R,98 min,"
Action, Thriller            ","180,294",$67.35M,5.3,28        
372,Lights Out,(II) (2016),PG-13,81 min,"
Horror            ","88,758",$67.27M,6.3,58        
373,Hacksaw Ridge,(2016),R,139 min,"
Biography, Drama, History            ","316,013",$67.21M,8.2,71        
374,The Bounty Hunter,(I) (2010),PG-13,110 min,"
Action, Comedy, Romance            ","106,915",$67.06M,5.5,22        
375,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",(2014),PG,81 min,"
Comedy, Family            ","34,714",$66.95M,6.2,54        
376,Contraband,(2012),R,109 min,"
Action, Crime, Drama            ","107,932",$66.53M,6.5,51        
377,Looper,(2012),R,113 min,"
Action, Crime, Drama            ","476,224",$66.49M,7.4,84        
378,Warm Bodies,(2013),PG-13,98 min,"
Comedy, Horror, Romance            ","201,384",$66.38M,6.9,60        
379,Allegiant,(2016),PG-13,120 min,"
Action, Adventure, Mystery            ","84,094",$66.18M,5.7,33        
380,Magic Mike XXL,(2015),R,115 min,"
Comedy, Drama, Music            ","45,844",$66.01M,5.6,60        
381,Madea's Witness Protection,(2012),PG-13,114 min,"
Comedy, Crime, Drama            ","8,734",$65.65M,4.9,42        
382,Battleship,(2012),PG-13,131 min,"
Action, Adventure, Sci-Fi            ","217,700",$65.42M,5.8,41        
383,The Visit,(I) (2015),PG-13,94 min,"
Horror, Thriller            ","92,811",$65.21M,6.2,55        
384,Jack the Giant Slayer,(2013),PG-13,114 min,"
Adventure, Fantasy            ","117,218",$65.19M,6.3,51        
385,Think Like a Man Too,(2014),PG-13,106 min,"
Comedy, Romance            ","17,353",$65.18M,5.8,38        
386,Now You See Me 2,(2016),PG-13,129 min,"
Action, Adventure, Comedy            ","188,884",$65.08M,6.5,46        
387,Exodus: Gods and Kings,(2014),PG-13,150 min,"
Action, Adventure, Drama            ","144,651",$65.01M,6.0,52        
388,Pitch Perfect,(2012),PG-13,112 min,"
Comedy, Music, Romance            ","242,030",$65.00M,7.2,66        
389,Mirror Mirror,(I) (2012),PG,106 min,"
Adventure, Comedy, Drama            ","76,494",$64.94M,5.6,46        
390,Chronicle,(2012),PG-13,84 min,"
Drama, Sci-Fi, Thriller            ","221,450",$64.58M,7.1,69        
391,The Purge,(I) (2013),R,85 min,"
Horror, Sci-Fi, Thriller            ","165,817",$64.47M,5.7,41        
392,The Wedding Ringer,(2015),R,101 min,"
Comedy            ","63,427",$64.46M,6.7,35        
393,A Dog's Purpose,(2017),PG,100 min,"
Adventure, Comedy, Drama            ","43,827",$64.30M,6.9,43        
394,The Nut Job,(I) (2014),PG,85 min,"
Animation, Adventure, Comedy            ","23,139",$64.25M,5.8,37        
395,Ice Age: Collision Course,(2016),PG,94 min,"
Animation, Adventure, Comedy            ","42,302",$64.06M,5.7,34        
396,Happy Feet Two,(2011),PG,100 min,"
Animation, Adventure, Comedy            ","36,238",$64.01M,5.9,50        
397,Diary of a Wimpy Kid,(2010),PG,94 min,"
Comedy, Family            ","36,407",$64.00M,6.2,56        
398,Last Vegas,(2013),PG-13,105 min,"
Comedy, Drama            ","116,908",$63.91M,6.6,48        
399,The Shape of Water,(2017),R,123 min,"
Adventure, Drama, Fantasy            ","205,298",$63.86M,7.5,87        
400,Unknown,(I) (2011),PG-13,113 min,"
Action, Mystery, Thriller            ","226,849",$63.69M,6.9,56        
401,Hope Springs,(2012),PG-13,100 min,"
Comedy, Drama, Romance            ","37,337",$63.54M,6.3,65        
402,The Sorcerer's Apprentice,(2010),PG,109 min,"
Action, Adventure, Family            ","137,366",$63.15M,6.1,46        
403,A Nightmare on Elm Street,(2010),R,95 min,"
Crime, Drama, Horror            ","81,913",$63.08M,5.2,35        
404,The Boss,(2016),R,99 min,"
Comedy            ","34,053",$63.03M,5.4,40        
405,The Last Song,(2010),PG,107 min,"
Drama, Music, Romance            ","68,760",$62.95M,5.9,33        
406,Black Mass,(2015),R,123 min,"
Biography, Crime, Drama            ","147,143",$62.58M,6.9,68        
407,London Has Fallen,(2016),R,99 min,"
Action, Drama, Thriller            ","114,313",$62.52M,5.9,28        
408,The Adjustment Bureau,(2011),PG-13,106 min,"
Romance, Sci-Fi, Thriller            ","218,057",$62.50M,7.1,60        
409,Underworld Awakening,(2012),R,88 min,"
Action, Fantasy, Horror            ","132,918",$62.32M,6.4,39        
410,The Wolfman,(2010),R,103 min,"
Drama, Fantasy, Horror            ","94,749",$61.98M,5.8,43        
411,Ender's Game,(2013),PG-13,114 min,"
Action, Fantasy, Sci-Fi            ","202,850",$61.74M,6.7,51        
412,Miracles from Heaven,(2016),PG,109 min,"
Biography, Drama, Family            ","15,023",$61.69M,7.1,44        
413,Deepwater Horizon,(2016),PG-13,107 min,"
Action, Drama, Thriller            ","118,422",$61.28M,7.2,68        
414,Prisoners,(2013),R,153 min,"
Crime, Drama, Mystery            ","482,309",$61.00M,8.1,74        
415,Get Him to the Greek,(2010),R,109 min,"
Adventure, Comedy, Music            ","156,690",$60.97M,6.4,65        
416,God's Not Dead,(2014),PG,113 min,"
Drama            ","36,189",$60.76M,4.8,16        
417,After Earth,(2013),PG-13,100 min,"
Action, Adventure, Sci-Fi            ","174,122",$60.52M,4.9,33        
418,The Lucky One,(2012),PG-13,101 min,"
Drama, Romance            ","88,624",$60.46M,6.5,39        
419,Why Him?,(2016),R,111 min,"
Comedy            ","79,195",$60.27M,6.2,39        
420,Resident Evil: Afterlife,(2010),R,96 min,"
Action, Adventure, Horror            ","147,127",$60.13M,5.9,37        
421,Why Did I Get Married Too?,(2010),PG-13,121 min,"
Comedy, Drama, Romance            ","8,283",$60.10M,4.5,43        
422,Tooth Fairy,(I) (2010),PG,101 min,"
Comedy, Family, Fantasy            ","34,870",$60.02M,5.0,36        
423,Secretariat,(2010),PG,123 min,"
Biography, Drama, Family            ","22,900",$59.71M,7.2,61        
424,Son of God,(2014),PG-13,138 min,"
Biography, Drama, History            ","16,990",$59.70M,5.7,37        
425,The Dictator,(2012),R,83 min,"
Comedy            ","236,548",$59.65M,6.4,58        
426,My Big Fat Greek Wedding 2,(2016),PG-13,94 min,"
Comedy, Romance            ","23,737",$59.57M,6.0,37        
427,The Lego Ninjago Movie,(2017),PG,101 min,"
Animation, Action, Adventure            ","12,960",$59.28M,6.0,55        
428,Planes: Fire & Rescue,(2014),PG,83 min,"
Animation, Adventure, Comedy            ","14,330",$59.17M,6.0,48        
429,The Grand Budapest Hotel,(2014),R,99 min,"
Adventure, Comedy, Drama            ","584,829",$59.10M,8.1,88        
430,Vacation,(I) (2015),R,99 min,"
Adventure, Comedy            ","81,163",$58.88M,6.1,34        
431,Total Recall,(I) (2012),PG-13,118 min,"
Action, Adventure, Mystery            ","219,788",$58.88M,6.3,43        
432,Water for Elephants,(2011),PG-13,120 min,"
Drama, Romance            ","102,416",$58.71M,6.9,52        
433,Jack Reacher: Never Go Back,(2016),PG-13,118 min,"
Action, Adventure, Crime            ","102,457",$58.70M,6.1,47        
434,RoboCop,(2014),PG-13,117 min,"
Action, Crime, Sci-Fi            ","198,208",$58.61M,6.2,52        
435,Easy A,(2010),PG-13,92 min,"
Comedy, Drama, Romance            ","311,759",$58.40M,7.1,72        
436,The Secret Life of Walter Mitty,(2013),PG,114 min,"
Adventure, Comedy, Drama            ","262,753",$58.24M,7.3,54        
437,Baywatch,(2017),R,116 min,"
Action, Comedy, Crime            ","101,328",$58.06M,5.6,37        
438,The Lincoln Lawyer,(2011),R,118 min,"
Crime, Drama, Thriller            ","188,595",$58.01M,7.3,63        
439,Takers,(2010),PG-13,107 min,"
Action, Crime, Thriller            ","51,025",$57.74M,6.2,45        
440,Fences,(2016),PG-13,139 min,"
Drama            ","74,420",$57.64M,7.2,79        
441,The Shack,(I) (2017),PG-13,132 min,"
Drama, Fantasy            ","21,622",$57.33M,6.3,32        
442,The Perfect Guy,(I) (2015),PG-13,100 min,"
Drama, Thriller            ","8,305",$57.02M,5.6,36        
443,Escape from Planet Earth,(2013),PG,89 min,"
Animation, Adventure, Comedy            ","22,414",$57.01M,5.9,35        
444,American Reunion,(2012),R,113 min,"
Comedy            ","184,857",$57.01M,6.7,49        
445,Midnight in Paris,(2011),PG-13,94 min,"
Comedy, Fantasy, Romance            ","338,809",$56.82M,7.7,81        
446,12 Years a Slave,(2013),R,134 min,"
Biography, Drama, History            ","534,851",$56.67M,8.1,96        
447,Joy,(I) (2015),PG-13,124 min,"
Drama            ","109,316",$56.45M,6.6,56        
448,Darkest Hour,(2017),PG-13,125 min,"
Biography, Drama, History            ","92,787",$56.44M,7.4,75        
449,Dracula Untold,(2014),PG-13,92 min,"
Action, Drama, Fantasy            ","156,894",$56.28M,6.3,40        
